,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2016-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ANDHRA PRADESH,Kurnool,,704,645,0,668,575109,901973,0,1477082,288718,1765800,36625,27409,0,64034,11336,,0,11336,43099,7901,0,51000,6339,17397,0,23736,1201,2300,7,3508,169613,575629,0,745242,,,,,,,,,268212,630637,7,898856,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,268212,630637,7,898856,24395,54388,1,78783,243817,576249,6,820072,6061,5033,,11094,185,326,,510,24643,29249,,53892,30888,34608,,65496,13,6,,8,7894,8205,0,16099,212980,548066,6,761047,,,,,,,,,,,,,,6023988,0,6844054,6,0,,0,,0,,,,,,,,6844054,6
10,ANDHRA PRADESH,Prakasam,,865,827,943,842,376531,1018206,74647,1469384,293144,1762527,26209,42806,6477,75491,2957,,0,2957,6143,8193,53,14389,1076,12120,0,13196,2066,37791,15,39872,38845,134848,831,174524,,,,,,,,,77296,235758,7375,320428,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,77296,235758,7375,320428,7489,21950,707,30147,69806,213808,6668,290282,5461,2370,55,7886,289,78,0,367,4739,49974,275,54988,10489,52422,330,63241,15,25,5,22,7793,7335,0,15183,57406,163487,6534,220893,,,,,,,,,,,,,,6567984,227927,6851598,234595,0,,0,,0,,,,,,,,6851598,234595
11,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,,1073,1046,1215,1054,338350,908642,242,1247234,60371,1307605,36170,82050,35,118255,2529,,,2529,69438,0,0,69438,8511,14257,0,22768,18908,32844,18306,70058,249358,1373521,68,1622947,,,,,,,,,384914,1502672,18409,1905995,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,384914,1502672,18409,1905995,36251,149061,1839,187152,348663,1353610,16570,1718843,3536,2628,0,6164,82,94,0,177,33428,57804,0,91232,37047,60526,0,97572,11,4,0,6,5686,4642,0,10328,312188,1294003,16570,1606191,,,,,,,,,,,,,,4295184,1685,5997458,18255,0,,0,,0,,,,,,,,5997458,18255
12,ANDHRA PRADESH,Srikakulam,,1125,1171,0,1159,147271,409084,0,556355,27584,583939,14929,33610,0,48539,,,,,28219,2744,0,30963,33538,275911,0,309449,30487,77957,0,108444,3253,20143557,2,20146812,,,,,,,,,110425,20533780,2,20644206,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,110425,20533780,2,20644206,10496,2052176,0,2062673,99929,18481603,1,18581534,2426,6360,,8786,13,291,,304,10193,30890,,41082,12632,37543,,50175,13,0,,0,3588,13071,0,16659,87609,18448612,1,18536221,,,,,,,,,,,,,,2001371,0,20582903,1,0,,0,,0,,,,,,,,20582903,1
13,ANDHRA PRADESH,Visakhapatnam,,1171,1169,0,1170,40437,392431,0,432868,421900,854768,4828,36793,0,41621,425,,,425,,,,,0,0,0,0,1,15,0,17,5420,6885,0,12305,,,,,,,,,10674,43693,0,54368,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,10674,43693,0,54368,1008,3760,0,4767,9667,39934,0,49600,213,2200,,2413,28,62,,90,1370,5323,,6693,1611,7586,,9196,17,19,,19,671,4850,0,5521,7673,30577,0,38251,,,,,,,,,,,,,,1458987,0,1508587,0,0,,0,,0,,,,,,,,1508587,0
14,ANDHRA PRADESH,Vizianagaram,,1110,1118,0,1116,139444,476256,0,615700,38203,653903,14797,36638,0,51435,,,,,26337,3547,0,29884,1801,2216,0,4017,727545,125652,0,853197,434909,5872,63,440844,,,,,,,,,1205388,173925,63,1379376,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,1205388,173925,63,1379376,98223,15746,5,113972,1107166,158179,58,1265403,63,386,,449,12,36,,48,8556,12294,,20850,8631,12715,,21346,1,8,,2,1251,3264,0,4515,1097900,147170,58,1245070,,,,,,,,,,,,,,3122692,0,4388037,58,0,,0,,0,,,,,,,,4388037,58
15,ANDHRA PRADESH,West Godavari,,777,983,720,894,147260,521703,170062,839025,8749,847774,19447,47380,22688,89516,6634,,2695,9329,12084,0,79880,91964,46987,391614,6922,445523,9885,10339948,0,10349832,8,18616,0,18623,,,,,,,,,95045,10797558,112185,11004788,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,95045,10797558,112185,11004788,9389,1034732,11219,1055340,85656,9762826,100966,9949448,899,2404,261,3563,9336905,16306305,7913739,33556950,1740538,3317582,1706023,6764143,11078341,19626290,9620022,40324654,12934,201,9528,312,1513,4863,0,6635,9452,5600059,2756,5609511,,,,,,,,,,,,,,6512501,639840,16360983,740806,0,,0,,0,,,,,,,,16360983,740806
16,ANDHRA PRADESH,Y.S.R Kadapa,,837,846,0,840,714974,504329,0,1219303,315697,1535000,59876,42528,0,102404,107,,0,107,8694,0,0,8694,12209,2,0,12211,13186,72842,0,86028,19932,17129,0,37061,,,,,,,,,114004,132501,0,246504,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,114004,132501,0,246504,10904,12114,0,23018,103100,120387,0,223486,2109,1766,,3876,892,349,,1241,45765,29783,,75548,48767,31898,,80665,47,26,,36,3944,2039,0,5983,58334,93128,0,151462,,,,,,,,,,,,,,9419718,0,9643204,0,0,,0,,0,,,,,,,,9643204,0
17,ARUNACHAL PRADESH,ANJAW,,0,0,0,0,0,0,0,0,619000,619000,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0
18,ARUNACHAL PRADESH,CHANGLANG,,,,,,0,0,0,0,0,0,,,,26005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26772,,,,2849,,,,23923,,,,174,,,,0,,,,0,,,,174,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
19,ARUNACHAL PRADESH,DIBANG VALLEY,,0,0,0,0,0,0,0,0,912900,912900,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0
20,ARUNACHAL PRADESH,EAST KAMENG,,,,,,0,0,0,0,0,0,,,,9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928,,,,993,,,,8935,,,,25,,,,0,,,,0,,,,25,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
21,ARUNACHAL PRADESH,EAST SIANG,,,,,,0,0,0,0,0,0,,,,76341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82339,,,,13307,,,,69032,,,,65,,,,0,,,,0,,,,65,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22,ARUNACHAL PRADESH,KURUNG KUMEY,,0,0,0,0,0,0,0,0,881800,881800,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0
23,ARUNACHAL PRADESH,LOHIT,,,,,,0,0,0,0,0,0,,,,86097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88408,,,,8841,,,,79567,,,,218,,,,0,,,,0,,,,218,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
24,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,,,,,0,0,0,0,0,0,,,,59403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61152,,,,6115,,,,55036,,,,32,,,,0,,,,0,,,,32,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
25,ARUNACHAL PRADESH,LOWER SUBANSIRI,,,,,,0,0,0,0,0,0,,,,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,,,,739,,,,2656,,,,18,,,,0,,,,0,,,,18,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
26,ARUNACHAL PRADESH,PAPUM PARE,,,,,,0,0,0,0,0,0,,,,9242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11196,,,,1449,,,,9746,,,,85,,,,14,,,,0,,,,99,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
27,ARUNACHAL PRADESH,TAWANG,,0,0,0,0,0,0,0,0,217200,217200,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0
28,ARUNACHAL PRADESH,TIRAP,,,,,,0,0,0,0,0,0,,,,7071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7890,,,,394,,,,7495,,,,63,,,,0,,,,0,,,,63,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
29,ARUNACHAL PRADESH,UPPER SIANG,,0,3880,0,0,0,0,0,0,618800,618800,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0
30,ARUNACHAL PRADESH,UPPER SUBANSIRI,,,,,,0,0,0,0,0,0,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058,,,,106,,,,952,,,,16,,,,0,,,,0,,,,16,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
31,ARUNACHAL PRADESH,WEST KAMENG,,,,,,0,0,0,0,0,0,,,,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3963,,,,396,,,,3567,,,,11,,,,1,,,,0,,,,12,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
32,ARUNACHAL PRADESH,WEST SIANG,,,,,,0,0,0,0,0,0,,,,4274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,640,,,,5760,,,,21,,,,1,,,,0,,,,22,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
33,BIHAR,ARARIA,,0,0,0,0,0,0,0,0,0,0,,,,91232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98976,,,,7096,,,,91880,,,,5184,,,,925,,,,11923,,,,18032,,,,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
34,BIHAR,ARWAL,,0,0,0,0,0,0,0,0,0,0,,,,14415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22471,,,,1276,,,,21195,,,,1426,,,,408,,,,6340,,,,8173,,,,39,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
35,BIHAR,AURANGABAD,,0,0,0,0,0,0,0,0,0,0,,,,85449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103767,,,,5188,,,,98578,,,,4427,,,,1294,,,,20500,,,,26221,,,,27,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
36,BIHAR,BANKA,,0,0,0,0,0,0,0,0,0,0,,,,36726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49846,,,,3011,,,,46836,,,,3584,,,,802,,,,11809,,,,16195,,,,35,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
